Ticker,Des_en,Unit_en,Des_de,Unit_de
UKIPIMOM Index,Industrial production,% mom,Industrieproduktion,% Vm.
UKGRABIQ Index,GDP,% qoq,BIP,% Vq.
UKUEILOR Index,ILO Unemployment rate,%,ILO Arbeitslosenquote,%
UKRPCJMR Index,CPI,% mom,Verbraucherpreise,% Vm.
UKRPCJYR Index,CPI,% yoy,Verbraucherpreise,% Vj.
UKHCA9IQ Index,CPI core,% yoy,Kerninflation,% Vj.
# United States
GDP CQOQ Index,GDP,%qoq ann.,BIP,% Vq. (ann.)
FDTR Index,FOMC Rate Decision (upper bound),%,Fed-Entscheidung (Obergrenze),%
USTBTOT Index,Trade Balance,$bn,Handelsbilanz,Mrd. $
USCABAL Index,Current Account Balance,$bn,Leistungsbilanzsaldo,Mrd. $
FRNTTOTL Index,Long-Term TIC Flows,$bn,Portfolio-Zuflüsse,Mrd. $
RSTAMOM Index,Retail Sales,%mom,Einzelhandelsumsätze,% Vm.
RSTAXMOM Index,Retail Sales ex Auto,%mm,Einzelhandelsumsätze ohne Autos,% Vm.
PITLCHNG Index,Personal Income,%mom,Verfügbare Einkommen,% Vm.
PCE CRCH Index,Personal Spending,"%mom, s.a.",Private Ausgaben,% Vm.
PCE DEFM Index,PCE Deflator,%mom,PCE Deflator,% Vm.
PCE DEFY Index,PCE Deflator,%yoy,PCE Deflator,% Vm.
PCE CMOM Index,PCE Core Deflator,%mom,"PCE Deflator, Kernrate",% Vm.
PCE CYOY Index,PCE Core Deflator,%yoy,"PCE Deflator, Kernrate",% Vj.
CPI CHNG Index,CPI,%mom,Konsumentenpreise,% Vm.
CPI YOY Index,CPI,%yoy,Konsumentenpreise,% Vj.
CPUPXCHG Index,Core CPI,%mom,"Konsumentenpreise, Kernrate",% Vm.
CPI XYOY Index,Core CPI,%yoy,"Konsumentenpreise, Kernrate",% Vj.
FDIDFDMO Index,PPI,%mom,Produzentenpreise,% Vm.
FDIDSGMO Index,PPI ex food&energy,%mom,"Produzentenpreise, Kernrate",% Vm.
CONCCONF Index,Conf. Board Consumer Confidence,index,Conf. Board Konsumentenvertrauen,Index
CONSSENT Index,UMich Sentiment,index,UMich Konsumentenvertrauen,Index
CONSP5MD Index,UMich 5-10Y Inflation exp.,%,UMich langf. Inflationserw.,%
MBAVCHNG Index,MBA Mortgage Applications,%wow,Hypothekenanträge,%Vw.
#CNSTTMOM Index,Construction Spending,%mom,Bauausgaben,% Vm.
NHSPSTOT Index,Housing Starts,k,Baubeginne,Tsd.
NHSPATOT Index,Building Permits,k,Bauanträge,Tsd.
ETSLTOTL Index,Existing Home Sales,mln,Verkäufe bestehender Häuser, Mill.
